group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
file_creation_ssd,,,,,1948500.0,ns,7
file_creation_ssd,,,,,1994200.0,ns,14
file_creation_ssd,,,,,3012400.0,ns,21
file_creation_ssd,,,,,4081000.0,ns,28
file_creation_ssd,,,,,5512600.0,ns,35
file_creation_ssd,,,,,6527600.0,ns,42
file_creation_ssd,,,,,6880300.0,ns,49
file_creation_ssd,,,,,7818100.0,ns,56
file_creation_ssd,,,,,8590900.0,ns,63
file_creation_ssd,,,,,9858800.0,ns,70
file_creation_ssd,,,,,10798600.0,ns,77
file_creation_ssd,,,,,14370400.0,ns,84
file_creation_ssd,,,,,15476700.0,ns,91
file_creation_ssd,,,,,14974100.0,ns,98
file_creation_ssd,,,,,15558300.0,ns,105
file_creation_ssd,,,,,17253900.0,ns,112
file_creation_ssd,,,,,17930500.0,ns,119
file_creation_ssd,,,,,19573900.0,ns,126
file_creation_ssd,,,,,19848500.0,ns,133
file_creation_ssd,,,,,19716200.0,ns,140
file_creation_ssd,,,,,20594200.0,ns,147
file_creation_ssd,,,,,25768700.0,ns,154
file_creation_ssd,,,,,23768300.0,ns,161
file_creation_ssd,,,,,26025300.0,ns,168
file_creation_ssd,,,,,25802800.0,ns,175
file_creation_ssd,,,,,26294000.0,ns,182
file_creation_ssd,,,,,26649600.0,ns,189
file_creation_ssd,,,,,27303100.0,ns,196
file_creation_ssd,,,,,27778000.0,ns,203
file_creation_ssd,,,,,29389600.0,ns,210
file_creation_ssd,,,,,32694300.0,ns,217
file_creation_ssd,,,,,31236100.0,ns,224
file_creation_ssd,,,,,33142800.0,ns,231
file_creation_ssd,,,,,33744000.0,ns,238
file_creation_ssd,,,,,33813200.0,ns,245
file_creation_ssd,,,,,35382500.0,ns,252
file_creation_ssd,,,,,36708500.0,ns,259
file_creation_ssd,,,,,36538000.0,ns,266
file_creation_ssd,,,,,39740000.0,ns,273
file_creation_ssd,,,,,39863000.0,ns,280
file_creation_ssd,,,,,41369900.0,ns,287
file_creation_ssd,,,,,48179800.0,ns,294
file_creation_ssd,,,,,42584800.0,ns,301
file_creation_ssd,,,,,42906000.0,ns,308
file_creation_ssd,,,,,43751400.0,ns,315
file_creation_ssd,,,,,44603700.0,ns,322
file_creation_ssd,,,,,46442900.0,ns,329
file_creation_ssd,,,,,49683400.0,ns,336
file_creation_ssd,,,,,51286100.0,ns,343
file_creation_ssd,,,,,50935300.0,ns,350
file_creation_ssd,,,,,51271000.0,ns,357
file_creation_ssd,,,,,51333500.0,ns,364
file_creation_ssd,,,,,51809300.0,ns,371
file_creation_ssd,,,,,52793900.0,ns,378
file_creation_ssd,,,,,53357900.0,ns,385
file_creation_ssd,,,,,53938300.0,ns,392
file_creation_ssd,,,,,56168900.0,ns,399
file_creation_ssd,,,,,57081900.0,ns,406
file_creation_ssd,,,,,57634900.0,ns,413
file_creation_ssd,,,,,60208000.0,ns,420
file_creation_ssd,,,,,61980100.0,ns,427
file_creation_ssd,,,,,60365900.0,ns,434
file_creation_ssd,,,,,61574800.0,ns,441
file_creation_ssd,,,,,62023100.0,ns,448
file_creation_ssd,,,,,67266400.0,ns,455
file_creation_ssd,,,,,65860300.0,ns,462
file_creation_ssd,,,,,72227000.0,ns,469
file_creation_ssd,,,,,67123900.0,ns,476
file_creation_ssd,,,,,69948400.0,ns,483
file_creation_ssd,,,,,68028400.0,ns,490
file_creation_ssd,,,,,68756900.0,ns,497
file_creation_ssd,,,,,70738100.0,ns,504
file_creation_ssd,,,,,72465400.0,ns,511
file_creation_ssd,,,,,77356300.0,ns,518
file_creation_ssd,,,,,74862900.0,ns,525
file_creation_ssd,,,,,73883900.0,ns,532
file_creation_ssd,,,,,75483900.0,ns,539
file_creation_ssd,,,,,75597000.0,ns,546
file_creation_ssd,,,,,77352500.0,ns,553
file_creation_ssd,,,,,80948300.0,ns,560
file_creation_ssd,,,,,81392500.0,ns,567
file_creation_ssd,,,,,81115000.0,ns,574
file_creation_ssd,,,,,80903900.0,ns,581
file_creation_ssd,,,,,82164200.0,ns,588
file_creation_ssd,,,,,93460300.0,ns,595
file_creation_ssd,,,,,85110700.0,ns,602
file_creation_ssd,,,,,90005500.0,ns,609
file_creation_ssd,,,,,86047300.0,ns,616
file_creation_ssd,,,,,88687200.0,ns,623
file_creation_ssd,,,,,88276900.0,ns,630
file_creation_ssd,,,,,91657000.0,ns,637
file_creation_ssd,,,,,93969600.0,ns,644
file_creation_ssd,,,,,92954300.0,ns,651
file_creation_ssd,,,,,92799800.0,ns,658
file_creation_ssd,,,,,94103300.0,ns,665
file_creation_ssd,,,,,93713800.0,ns,672
file_creation_ssd,,,,,95141700.0,ns,679
file_creation_ssd,,,,,98012700.0,ns,686
file_creation_ssd,,,,,96556400.0,ns,693
file_creation_ssd,,,,,108558700.0,ns,700
